X,Y,Z
-2007735.0,2765295.0,32767.0
-2007705.0,2765295.0,32767.0
-2007675.0,2765295.0,32767.0
-2007645.0,2765295.0,32767.0
-2007615.0,2765295.0,32767.0
-2007585.0,2765295.0,32767.0
-2007555.0,2765295.0,32767.0
-2007525.0,2765295.0,32767.0
-2007495.0,2765295.0,32767.0
-2007465.0,2765295.0,32767.0
-2007435.0,2765295.0,32767.0
-2007405.0,2765295.0,32767.0
-2007375.0,2765295.0,32767.0
-2007345.0,2765295.0,32767.0
-2007315.0,2765295.0,32767.0
-2007285.0,2765295.0,32767.0
-2007255.0,2765295.0,32767.0
-2007225.0,2765295.0,32767.0
-2007195.0,2765295.0,32767.0
-2007165.0,2765295.0,32767.0
-2007135.0,2765295.0,32767.0
-2007105.0,2765295.0,32767.0
-2007075.0,2765295.0,32767.0
-2007045.0,2765295.0,32767.0
-2007015.0,2765295.0,32767.0
-2006985.0,2765295.0,32767.0
-2006955.0,2765295.0,32767.0
-2006925.0,2765295.0,32767.0
-2006895.0,2765295.0,32767.0
-2006865.0,2765295.0,32767.0
-2006835.0,2765295.0,32767.0
-2006805.0,2765295.0,32767.0
-2006775.0,2765295.0,32767.0
-2006745.0,2765295.0,32767.0
-2006715.0,2765295.0,32767.0
-2006685.0,2765295.0,32767.0
-2006655.0,2765295.0,32767.0
-2006625.0,2765295.0,32767.0
-2006595.0,2765295.0,32767.0
-2006565.0,2765295.0,32767.0
-2006535.0,2765295.0,32767.0
-2006505.0,2765295.0,32767.0
-2006475.0,2765295.0,32767.0
-2006445.0,2765295.0,32767.0
-2006415.0,2765295.0,32767.0
-2006385.0,2765295.0,32767.0
-2006355.0,2765295.0,32767.0
-2006325.0,2765295.0,32767.0
-2006295.0,2765295.0,32767.0
-2006265.0,2765295.0,32767.0
-2006235.0,2765295.0,32767.0
-2006205.0,2765295.0,32767.0
-2006175.0,2765295.0,32767.0
-2006145.0,2765295.0,32767.0
-2006115.0,2765295.0,32767.0
-2006085.0,2765295.0,32767.0
-2006055.0,2765295.0,32767.0
-2006025.0,2765295.0,32767.0
-2005995.0,2765295.0,32767.0
-2005965.0,2765295.0,32767.0
-2005935.0,2765295.0,32767.0
-2005905.0,2765295.0,32767.0
-2005875.0,2765295.0,32767.0
-2005845.0,2765295.0,32767.0
-2005815.0,2765295.0,32767.0
-2005785.0,2765295.0,32767.0
-2005755.0,2765295.0,32767.0
-2005725.0,2765295.0,32767.0
-2005695.0,2765295.0,32767.0
-2005665.0,2765295.0,32767.0
-2005635.0,2765295.0,32767.0
-2005605.0,2765295.0,32767.0
-2005575.0,2765295.0,32767.0
-2005545.0,2765295.0,32767.0
-2005515.0,2765295.0,32767.0
-2005485.0,2765295.0,32767.0
-2005455.0,2765295.0,32767.0
-2005425.0,2765295.0,32767.0
-2005395.0,2765295.0,32767.0
-2005365.0,2765295.0,32767.0
-2005335.0,2765295.0,32767.0
-2005305.0,2765295.0,32767.0
-2005275.0,2765295.0,32767.0
-2005245.0,2765295.0,32767.0
-2005215.0,2765295.0,32767.0
-2005185.0,2765295.0,32767.0
-2005155.0,2765295.0,32767.0
-2005125.0,2765295.0,32767.0
-2005095.0,2765295.0,32767.0
-2005065.0,2765295.0,32767.0
-2005035.0,2765295.0,32767.0
-2005005.0,2765295.0,32767.0
-2004975.0,2765295.0,32767.0
-2004945.0,2765295.0,32767.0
-2004915.0,2765295.0,32767.0
-2004885.0,2765295.0,32767.0
-2004855.0,2765295.0,32767.0
-2004825.0,2765295.0,32767.0
-2004795.0,2765295.0,32767.0
-2004765.0,2765295.0,32767.0
-2004735.0,2765295.0,32767.0
-2004705.0,2765295.0,32767.0
-2004675.0,2765295.0,32767.0
-2004645.0,2765295.0,32767.0
-2004615.0,2765295.0,32767.0
-2004585.0,2765295.0,32767.0
-2004555.0,2765295.0,32767.0
-2004525.0,2765295.0,32767.0
-2004495.0,2765295.0,32767.0
-2004465.0,2765295.0,32767.0
-2004435.0,2765295.0,32767.0
-2004405.0,2765295.0,32767.0
-2004375.0,2765295.0,32767.0
-2004345.0,2765295.0,32767.0
-2004315.0,2765295.0,32767.0
-2004285.0,2765295.0,32767.0
-2004255.0,2765295.0,32767.0
-2004225.0,2765295.0,32767.0
-2004195.0,2765295.0,32767.0
-2004165.0,2765295.0,32767.0
-2004135.0,2765295.0,32767.0
-2004105.0,2765295.0,32767.0
-2004075.0,2765295.0,32767.0
