X,Y,Fuel_Model,Burn_Probability
-2009085.0,2765325.0,32767,0.2
-2009055.0,2765325.0,32767,0.2
-2009025.0,2765325.0,32767,0.2
-2008995.0,2765325.0,32767,0.2
-2008965.0,2765325.0,32767,0.2
-2008935.0,2765325.0,32767,0.2
-2008905.0,2765325.0,32767,0.2
-2008875.0,2765325.0,32767,0.2
-2008845.0,2765325.0,32767,0.2
-2008815.0,2765325.0,32767,0.2
-2008785.0,2765325.0,32767,0.2
-2008755.0,2765325.0,32767,0.2
-2008725.0,2765325.0,32767,0.2
-2008695.0,2765325.0,32767,0.2
-2008665.0,2765325.0,32767,0.2
-2008635.0,2765325.0,32767,0.2
-2008605.0,2765325.0,32767,0.2
-2008575.0,2765325.0,32767,0.2
-2008545.0,2765325.0,32767,0.2
-2008515.0,2765325.0,32767,0.2
-2008485.0,2765325.0,32767,0.2
-2008455.0,2765325.0,32767,0.2
-2008425.0,2765325.0,32767,0.2
-2008395.0,2765325.0,32767,0.2
-2008365.0,2765325.0,32767,0.2
-2008335.0,2765325.0,32767,0.2
-2008305.0,2765325.0,32767,0.2
-2008275.0,2765325.0,32767,0.2
-2008245.0,2765325.0,32767,0.2
-2008215.0,2765325.0,32767,0.2
-2008185.0,2765325.0,32767,0.2
-2008155.0,2765325.0,32767,0.2
-2008125.0,2765325.0,32767,0.2
-2008095.0,2765325.0,32767,0.2
-2008065.0,2765325.0,32767,0.2
-2008035.0,2765325.0,32767,0.2
-2008005.0,2765325.0,32767,0.2
-2007975.0,2765325.0,32767,0.2
-2007945.0,2765325.0,32767,0.2
-2007915.0,2765325.0,32767,0.2
-2007885.0,2765325.0,32767,0.2
-2007855.0,2765325.0,32767,0.2
-2007825.0,2765325.0,32767,0.2
-2007795.0,2765325.0,32767,0.2
-2007765.0,2765325.0,32767,0.2
-2007735.0,2765325.0,32767,0.2
-2007705.0,2765325.0,32767,0.2
-2007675.0,2765325.0,32767,0.2
-2007645.0,2765325.0,32767,0.2
-2007615.0,2765325.0,32767,0.2
-2007585.0,2765325.0,32767,0.2
-2007555.0,2765325.0,32767,0.2
-2007525.0,2765325.0,32767,0.2
-2007495.0,2765325.0,32767,0.2
-2007465.0,2765325.0,32767,0.2
-2007435.0,2765325.0,32767,0.2
-2007405.0,2765325.0,32767,0.2
-2007375.0,2765325.0,32767,0.2
-2007345.0,2765325.0,32767,0.2
-2007315.0,2765325.0,32767,0.2
-2007285.0,2765325.0,32767,0.2
-2007255.0,2765325.0,32767,0.2
-2007225.0,2765325.0,32767,0.2
-2007195.0,2765325.0,32767,0.2
-2007165.0,2765325.0,32767,0.2
-2007135.0,2765325.0,32767,0.2
-2007105.0,2765325.0,32767,0.2
-2007075.0,2765325.0,32767,0.2
-2007045.0,2765325.0,32767,0.2
-2007015.0,2765325.0,32767,0.2
-2006985.0,2765325.0,32767,0.2
-2006955.0,2765325.0,32767,0.2
-2006925.0,2765325.0,32767,0.2
-2006895.0,2765325.0,32767,0.2
-2006865.0,2765325.0,32767,0.2
-2006835.0,2765325.0,32767,0.2
-2006805.0,2765325.0,32767,0.2
-2006775.0,2765325.0,32767,0.2
-2006745.0,2765325.0,32767,0.2
-2006715.0,2765325.0,32767,0.2
-2006685.0,2765325.0,32767,0.2
-2006655.0,2765325.0,32767,0.2
-2006625.0,2765325.0,32767,0.2
-2006595.0,2765325.0,32767,0.2
-2006565.0,2765325.0,32767,0.2
-2006535.0,2765325.0,32767,0.2
-2006505.0,2765325.0,32767,0.2
