X,Y,Elevation
-2061075.0,2713965.0,32767
-2061045.0,2713965.0,32767
-2061015.0,2713965.0,32767
-2060985.0,2713965.0,32767
-2060955.0,2713965.0,32767
-2060925.0,2713965.0,32767
-2060895.0,2713965.0,32767
-2060865.0,2713965.0,32767
-2060835.0,2713965.0,32767
-2060805.0,2713965.0,32767
-2060775.0,2713965.0,32767
-2063295.0,2713935.0,32767
-2063265.0,2713935.0,32767
-2063235.0,2713935.0,32767
-2063205.0,2713935.0,32767
-2063175.0,2713935.0,32767
-2063145.0,2713935.0,32767
-2063115.0,2713935.0,32767
-2063085.0,2713935.0,32767
-2063055.0,2713935.0,32767
-2063025.0,2713935.0,32767
-2062995.0,2713935.0,32767
-2062965.0,2713935.0,32767
-2062935.0,2713935.0,32767
-2062905.0,2713935.0,32767
-2062875.0,2713935.0,32767
-2062845.0,2713935.0,32767
-2062815.0,2713935.0,519
-2062785.0,2713935.0,536
-2062755.0,2713935.0,551
-2062725.0,2713935.0,559
-2062695.0,2713935.0,576
-2062665.0,2713935.0,594
-2062635.0,2713935.0,605
-2062605.0,2713935.0,610
-2062575.0,2713935.0,611
-2062545.0,2713935.0,610
-2062515.0,2713935.0,607
-2062485.0,2713935.0,604
-2062455.0,2713935.0,32767
-2062425.0,2713935.0,32767
-2062395.0,2713935.0,32767
-2062365.0,2713935.0,32767
-2062335.0,2713935.0,32767
-2062305.0,2713935.0,32767
-2062275.0,2713935.0,32767
-2062245.0,2713935.0,32767
-2062215.0,2713935.0,32767
-2062185.0,2713935.0,32767
-2062155.0,2713935.0,32767
-2062125.0,2713935.0,32767
-2062095.0,2713935.0,32767
-2062065.0,2713935.0,32767
-2062035.0,2713935.0,32767
-2062005.0,2713935.0,32767
-2061975.0,2713935.0,32767
-2061945.0,2713935.0,32767
-2061915.0,2713935.0,32767
-2061885.0,2713935.0,32767
-2061855.0,2713935.0,32767
-2061825.0,2713935.0,32767
-2061795.0,2713935.0,32767
-2061765.0,2713935.0,32767
-2061735.0,2713935.0,32767
-2061705.0,2713935.0,32767
-2061675.0,2713935.0,32767
-2061645.0,2713935.0,32767
-2061615.0,2713935.0,32767
-2061585.0,2713935.0,32767
-2061555.0,2713935.0,32767
-2061525.0,2713935.0,32767
-2061495.0,2713935.0,32767
-2061465.0,2713935.0,32767
-2061435.0,2713935.0,32767
-2061405.0,2713935.0,32767
-2061375.0,2713935.0,32767
-2061345.0,2713935.0,32767
-2061315.0,2713935.0,32767
-2061285.0,2713935.0,32767
-2061255.0,2713935.0,32767
-2061225.0,2713935.0,32767
-2061195.0,2713935.0,32767
-2061165.0,2713935.0,32767
-2061135.0,2713935.0,32767
-2061105.0,2713935.0,32767
-2061075.0,2713935.0,32767
-2061045.0,2713935.0,32767
-2061015.0,2713935.0,32767
-2060985.0,2713935.0,32767
-2060955.0,2713935.0,32767
-2060925.0,2713935.0,32767
-2060895.0,2713935.0,32767
-2060865.0,2713935.0,32767
-2060835.0,2713935.0,32767
-2060805.0,2713935.0,32767
-2060775.0,2713935.0,32767
-2063295.0,2713905.0,32767
-2063265.0,2713905.0,32767
-2063235.0,2713905.0,32767
-2063205.0,2713905.0,32767
-2063175.0,2713905.0,32767
-2063145.0,2713905.0,32767
-2063115.0,2713905.0,32767
-2063085.0,2713905.0,32767
-2063055.0,2713905.0,32767
-2063025.0,2713905.0,32767
-2062995.0,2713905.0,32767
-2062965.0,2713905.0,32767
-2062935.0,2713905.0,32767
-2062905.0,2713905.0,32767
-2062875.0,2713905.0,32767
-2062845.0,2713905.0,32767
-2062815.0,2713905.0,526
-2062785.0,2713905.0,538
-2062755.0,2713905.0,550
-2062725.0,2713905.0,566
-2062695.0,2713905.0,584
-2062665.0,2713905.0,597
-2062635.0,2713905.0,602
-2062605.0,2713905.0,604
-2062575.0,2713905.0,603
-2062545.0,2713905.0,601
-2062515.0,2713905.0,601
-2062485.0,2713905.0,597
-2062455.0,2713905.0,595
-2062425.0,2713905.0,604
-2062395.0,2713905.0,613
-2062365.0,2713905.0,617
-2062335.0,2713905.0,32767
-2062305.0,2713905.0,32767
-2062275.0,2713905.0,32767
-2062245.0,2713905.0,32767
-2062215.0,2713905.0,32767
-2062185.0,2713905.0,32767
-2062155.0,2713905.0,32767
-2062125.0,2713905.0,32767
-2062095.0,2713905.0,32767
-2062065.0,2713905.0,32767
-2062035.0,2713905.0,32767
-2062005.0,2713905.0,32767
-2061975.0,2713905.0,32767
-2061945.0,2713905.0,32767
-2061915.0,2713905.0,32767
-2061885.0,2713905.0,32767
-2061855.0,2713905.0,32767
-2061825.0,2713905.0,32767
-2061795.0,2713905.0,32767
-2061765.0,2713905.0,32767
-2061735.0,2713905.0,32767
-2061705.0,2713905.0,32767
-2061675.0,2713905.0,32767
-2061645.0,2713905.0,32767
-2061615.0,2713905.0,32767
-2061585.0,2713905.0,32767
-2061555.0,2713905.0,32767
-2061525.0,2713905.0,32767
-2061495.0,2713905.0,32767
-2061465.0,2713905.0,32767
-2061435.0,2713905.0,32767
-2061405.0,2713905.0,32767
-2061375.0,2713905.0,32767
-2061345.0,2713905.0,32767
-2061315.0,2713905.0,32767
-2061285.0,2713905.0,32767
-2061255.0,2713905.0,32767
-2061225.0,2713905.0,32767
-2061195.0,2713905.0,32767
-2061165.0,2713905.0,32767
-2061135.0,2713905.0,32767
-2061105.0,2713905.0,32767
-2061075.0,2713905.0,32767
-2061045.0,2713905.0,32767
-2061015.0,2713905.0,32767
-2060985.0,2713905.0,32767
-2060955.0,2713905.0,32767
-2060925.0,2713905.0,32767
-2060895.0,2713905.0,32767
-2060865.0,2713905.0,32767
-2060835.0,2713905.0,32767
-2060805.0,2713905.0,32767
-2060775.0,2713905.0,32767
-2063295.0,2713875.0,32767
-2063265.0,2713875.0,32767
-2063235.0,2713875.0,32767
-2063205.0,2713875.0,32767
-2063175.0,2713875.0,32767
-2063145.0,2713875.0,32767
-2063115.0,2713875.0,32767
-2063085.0,2713875.0,32767
-2063055.0,2713875.0,32767
-2063025.0,2713875.0,32767
-2062995.0,2713875.0,32767
-2062965.0,2713875.0,32767
-2062935.0,2713875.0,32767
-2062905.0,2713875.0,32767
-2062875.0,2713875.0,32767
-2062845.0,2713875.0,32767
-2062815.0,2713875.0,529
-2062785.0,2713875.0,540
-2062755.0,2713875.0,556
-2062725.0,2713875.0,574
-2062695.0,2713875.0,590
-2062665.0,2713875.0,595
-2062635.0,2713875.0,597
-2062605.0,2713875.0,595
-2062575.0,2713875.0,592
-2062545.0,2713875.0,593
-2062515.0,2713875.0,595
-2062485.0,2713875.0,590
-2062455.0,2713875.0,592
-2062425.0,2713875.0,601
-2062395.0,2713875.0,607
-2062365.0,2713875.0,609
-2062335.0,2713875.0,605
-2062305.0,2713875.0,598
-2062275.0,2713875.0,611
-2062245.0,2713875.0,32767
-2062215.0,2713875.0,32767
-2062185.0,2713875.0,32767
-2062155.0,2713875.0,32767
-2062125.0,2713875.0,32767
-2062095.0,2713875.0,32767
-2062065.0,2713875.0,32767
-2062035.0,2713875.0,32767
-2062005.0,2713875.0,32767
-2061975.0,2713875.0,32767
-2061945.0,2713875.0,32767
-2061915.0,2713875.0,32767
-2061885.0,2713875.0,32767
-2061855.0,2713875.0,32767
-2061825.0,2713875.0,32767
-2061795.0,2713875.0,32767
-2061765.0,2713875.0,32767
-2061735.0,2713875.0,32767
-2061705.0,2713875.0,32767
-2061675.0,2713875.0,32767
-2061645.0,2713875.0,32767
-2061615.0,2713875.0,32767
-2061585.0,2713875.0,32767
-2061555.0,2713875.0,32767
-2061525.0,2713875.0,32767
-2061495.0,2713875.0,32767
-2061465.0,2713875.0,32767
-2061435.0,2713875.0,32767
-2061405.0,2713875.0,32767
-2061375.0,2713875.0,32767
-2061345.0,2713875.0,32767
-2061315.0,2713875.0,32767
-2061285.0,2713875.0,32767
-2061255.0,2713875.0,32767
-2061225.0,2713875.0,32767
-2061195.0,2713875.0,32767
-2061165.0,2713875.0,32767
-2061135.0,2713875.0,32767
-2061105.0,2713875.0,32767
-2061075.0,2713875.0,32767
-2061045.0,2713875.0,32767
-2061015.0,2713875.0,32767
-2060985.0,2713875.0,32767
-2060955.0,2713875.0,32767
-2060925.0,2713875.0,32767
-2060895.0,2713875.0,32767
-2060865.0,2713875.0,32767
-2060835.0,2713875.0,32767
-2060805.0,2713875.0,32767
-2060775.0,2713875.0,32767
-2063295.0,2713845.0,32767
-2063265.0,2713845.0,32767
-2063235.0,2713845.0,32767
-2063205.0,2713845.0,32767
-2063175.0,2713845.0,32767
-2063145.0,2713845.0,32767
-2063115.0,2713845.0,32767
-2063085.0,2713845.0,32767
-2063055.0,2713845.0,32767
-2063025.0,2713845.0,32767
-2062995.0,2713845.0,32767
-2062965.0,2713845.0,32767
-2062935.0,2713845.0,32767
-2062905.0,2713845.0,32767
-2062875.0,2713845.0,32767
-2062845.0,2713845.0,518
-2062815.0,2713845.0,529
-2062785.0,2713845.0,541
-2062755.0,2713845.0,562
-2062725.0,2713845.0,580
-2062695.0,2713845.0,587
-2062665.0,2713845.0,589
-2062635.0,2713845.0,589
-2062605.0,2713845.0,585
-2062575.0,2713845.0,583
-2062545.0,2713845.0,587
-2062515.0,2713845.0,589
-2062485.0,2713845.0,584
-2062455.0,2713845.0,592
-2062425.0,2713845.0,597
-2062395.0,2713845.0,601
-2062365.0,2713845.0,602
-2062335.0,2713845.0,597
-2062305.0,2713845.0,599
-2062275.0,2713845.0,609
-2062245.0,2713845.0,613
-2062215.0,2713845.0,615
-2062185.0,2713845.0,616
-2062155.0,2713845.0,617
-2062125.0,2713845.0,32767
-2062095.0,2713845.0,32767
-2062065.0,2713845.0,32767
-2062035.0,2713845.0,32767
-2062005.0,2713845.0,32767
-2061975.0,2713845.0,32767
-2061945.0,2713845.0,32767
-2061915.0,2713845.0,32767
-2061885.0,2713845.0,32767
-2061855.0,2713845.0,32767
-2061825.0,2713845.0,32767
-2061795.0,2713845.0,32767
-2061765.0,2713845.0,32767
-2061735.0,2713845.0,32767
-2061705.0,2713845.0,32767
-2061675.0,2713845.0,32767
-2061645.0,2713845.0,32767
-2061615.0,2713845.0,32767
-2061585.0,2713845.0,32767
-2061555.0,2713845.0,32767
-2061525.0,2713845.0,32767
-2061495.0,2713845.0,32767
-2061465.0,2713845.0,32767
-2061435.0,2713845.0,32767
-2061405.0,2713845.0,32767
-2061375.0,2713845.0,32767
-2061345.0,2713845.0,32767
-2061315.0,2713845.0,32767
-2061285.0,2713845.0,32767
-2061255.0,2713845.0,32767
-2061225.0,2713845.0,32767
-2061195.0,2713845.0,32767
-2061165.0,2713845.0,32767
-2061135.0,2713845.0,32767
-2061105.0,2713845.0,32767
-2061075.0,2713845.0,32767
-2061045.0,2713845.0,32767
-2061015.0,2713845.0,32767
-2060985.0,2713845.0,32767
-2060955.0,2713845.0,32767
-2060925.0,2713845.0,32767
-2060895.0,2713845.0,32767
-2060865.0,2713845.0,32767
-2060835.0,2713845.0,32767
-2060805.0,2713845.0,32767
-2060775.0,2713845.0,32767
-2063295.0,2713815.0,32767
-2063265.0,2713815.0,32767
-2063235.0,2713815.0,32767
-2063205.0,2713815.0,32767
-2063175.0,2713815.0,32767
-2063145.0,2713815.0,32767
-2063115.0,2713815.0,32767
-2063085.0,2713815.0,32767
-2063055.0,2713815.0,32767
-2063025.0,2713815.0,32767
-2062995.0,2713815.0,32767
-2062965.0,2713815.0,32767
-2062935.0,2713815.0,32767
-2062905.0,2713815.0,32767
-2062875.0,2713815.0,32767
-2062845.0,2713815.0,515
-2062815.0,2713815.0,527
-2062785.0,2713815.0,544
-2062755.0,2713815.0,565
-2062725.0,2713815.0,576
-2062695.0,2713815.0,580
-2062665.0,2713815.0,583
-2062635.0,2713815.0,581
-2062605.0,2713815.0,576
-2062575.0,2713815.0,574
-2062545.0,2713815.0,581
-2062515.0,2713815.0,579
-2062485.0,2713815.0,573
-2062455.0,2713815.0,581
-2062425.0,2713815.0,587
-2062395.0,2713815.0,593
-2062365.0,2713815.0,594
-2062335.0,2713815.0,592
-2062305.0,2713815.0,600
-2062275.0,2713815.0,605
-2062245.0,2713815.0,606
-2062215.0,2713815.0,607
-2062185.0,2713815.0,608
-2062155.0,2713815.0,610
-2062125.0,2713815.0,611
-2062095.0,2713815.0,613
-2062065.0,2713815.0,616
-2062035.0,2713815.0,32767
-2062005.0,2713815.0,32767
-2061975.0,2713815.0,32767
-2061945.0,2713815.0,32767
-2061915.0,2713815.0,32767
-2061885.0,2713815.0,32767
-2061855.0,2713815.0,32767
-2061825.0,2713815.0,32767
-2061795.0,2713815.0,32767
-2061765.0,2713815.0,32767
-2061735.0,2713815.0,32767
-2061705.0,2713815.0,32767
-2061675.0,2713815.0,32767
-2061645.0,2713815.0,32767
-2061615.0,2713815.0,32767
-2061585.0,2713815.0,32767
-2061555.0,2713815.0,32767
-2061525.0,2713815.0,32767
-2061495.0,2713815.0,32767
-2061465.0,2713815.0,32767
-2061435.0,2713815.0,32767
-2061405.0,2713815.0,32767
-2061375.0,2713815.0,32767
-2061345.0,2713815.0,32767
-2061315.0,2713815.0,32767
-2061285.0,2713815.0,32767
-2061255.0,2713815.0,32767
-2061225.0,2713815.0,32767
-2061195.0,2713815.0,32767
-2061165.0,2713815.0,32767
-2061135.0,2713815.0,32767
-2061105.0,2713815.0,32767
-2061075.0,2713815.0,32767
-2061045.0,2713815.0,32767
-2061015.0,2713815.0,32767
-2060985.0,2713815.0,32767
-2060955.0,2713815.0,32767
-2060925.0,2713815.0,32767
-2060895.0,2713815.0,32767
-2060865.0,2713815.0,32767
-2060835.0,2713815.0,32767
-2060805.0,2713815.0,32767
-2060775.0,2713815.0,32767
-2063295.0,2713785.0,32767
-2063265.0,2713785.0,32767
-2063235.0,2713785.0,32767
-2063205.0,2713785.0,32767
-2063175.0,2713785.0,32767
-2063145.0,2713785.0,32767
-2063115.0,2713785.0,32767
-2063085.0,2713785.0,32767
-2063055.0,2713785.0,32767
-2063025.0,2713785.0,32767
-2062995.0,2713785.0,32767
-2062965.0,2713785.0,32767
-2062935.0,2713785.0,32767
-2062905.0,2713785.0,32767
-2062875.0,2713785.0,32767
-2062845.0,2713785.0,513
-2062815.0,2713785.0,527
-2062785.0,2713785.0,546
-2062755.0,2713785.0,561
-2062725.0,2713785.0,569
-2062695.0,2713785.0,573
-2062665.0,2713785.0,574
-2062635.0,2713785.0,570
-2062605.0,2713785.0,567
-2062575.0,2713785.0,570
-2062545.0,2713785.0,574
-2062515.0,2713785.0,570
-2062485.0,2713785.0,558
-2062455.0,2713785.0,570
-2062425.0,2713785.0,575
-2062395.0,2713785.0,586
-2062365.0,2713785.0,586
-2062335.0,2713785.0,592
-2062305.0,2713785.0,598
-2062275.0,2713785.0,599
-2062245.0,2713785.0,599
-2062215.0,2713785.0,600
-2062185.0,2713785.0,605
-2062155.0,2713785.0,607
-2062125.0,2713785.0,610
-2062095.0,2713785.0,612
-2062065.0,2713785.0,613
-2062035.0,2713785.0,615
-2062005.0,2713785.0,616
-2061975.0,2713785.0,617
-2061945.0,2713785.0,617
-2061915.0,2713785.0,32767
-2061885.0,2713785.0,32767
-2061855.0,2713785.0,32767
-2061825.0,2713785.0,32767
